# number|title|why|concepts|experiment|failure|challenge|answer|questions|connection
13|Attention From Scratch|Attention lets each token dynamically combine information from other permitted token positions.|queries, keys, and values;scaled dot-product attention;softmax and masks;attention tensor shapes|Remove scaling and increase key dimension then compare softmax entropy.|Missing causal masks leak future tokens and unscaled scores saturate softmax.|Given Q and K shapes B,H,T,D derive score and output shapes.|Q multiplied by transposed K gives B,H,T,T. Multiplying weights by V returns B,H,T,D.|Why divide by the square root of key dimension?;What does a causal mask prevent?;Why are attention weights not explanations by default?|Self-attention is the primary token-mixing mechanism in transformers.
14|Transformer Blocks|A transformer block combines attention, token-wise computation, residual streams, and normalization.|multi-head attention;residual connections;layer normalization;feed-forward networks|Ablate residual connections and compare signal norms across many blocks.|Deep stacks without stable residual and normalization design become difficult to optimize.|Trace shapes through a pre-norm decoder block and calculate parameter counts.|Attention projections and FFN matrices dominate parameters while residual additions preserve model dimension.|Why use multiple heads?;What does the FFN do?;Why are residuals important?|Stacked transformer blocks form most modern language-model backbones.
15|Build a Tiny GPT|Autoregressive language models learn to predict each next token from prior context.|causal language modeling;input and target shifting;negative log-likelihood;generation and exposure bias|Train a bigram baseline before a transformer and compare loss.|Generated text can look plausible while revealing shallow memorization and weak generalization.|Create training pairs from a token sequence using context length four.|Each input window predicts the following token. Shift targets one position relative to inputs.|What is next-token prediction?;Why establish a baseline?;What does perplexity summarize?|GPT-style models scale this objective across massive models and corpora.
16|LLM Inference and Decoding|Inference converts logits into sequences under quality, latency, memory, and randomness constraints.|greedy and beam decoding;temperature, top-k, and top-p;KV caching;batching and quantization|Sample 1000 times at several temperatures and compare entropy.|Aggressive randomness destroys coherence while deterministic decoding can become repetitive.|Implement nucleus sampling that retains the smallest set reaching cumulative probability p.|Sort probabilities, keep through the threshold-crossing token, renormalize, and sample.|What does temperature change?;Why does KV caching accelerate generation?;What does quantization trade?|Serving architecture often matters as much as model architecture for cost and latency.
17|Prompt and Context Engineering|LLM behavior depends on instructions plus context deliberately assembled by the application.|instruction hierarchy;message roles;context budgets;prompt versioning and regression tests|Vary irrelevant context volume and measure whether required facts survive.|Longer prompts can dilute instructions, increase latency, and expand the attack surface.|Design a prompt contract with inputs, outputs, forbidden behavior, and test cases.|Treat the prompt like an API with explicit schema, invariants, examples, and versioned evaluation.|Why is context selection an engineering problem?;What belongs in system instructions?;Why version prompts?|Prompts are one controlled component of an AI application.
18|Structured Output and Tool Calling|Models can propose typed actions but trusted code must validate and authorize them.|JSON Schema and typed output;tool descriptions;dispatch and validation;idempotency and approval|Fuzz tool arguments with missing, extra, and wrong-typed fields.|Executing plausible but invalid model output creates security and reliability failures.|Create a registry that rejects unknown tools and unexpected arguments.|Use an allowlist, strict schemas, authorization checks, timeouts, and structured results.|Who executes the tool?;Why validate schema-constrained output?;What makes a tool idempotent?|Tool calling bridges language generation to consequential action.
19|RAG Fundamentals|RAG supplies retrieved evidence at inference time instead of expecting memorization of changing private knowledge.|ingestion and chunking;embedding and indexing;retrieval and context assembly;grounded answers and citations|Test chunk sizes on questions requiring local and cross-section evidence.|Bad retrieval cannot be repaired reliably by eloquent generation.|Build a three-document retriever and require each factual sentence to cite a source ID.|Rank chunks, pass only selected evidence, and validate every cited ID exists in the retrieved set.|What problem does RAG solve?;Why separate retrieval and generation?;What makes a citation trustworthy?|Enterprise assistants combine governed data stores with retrieval and generation.
20|Hybrid Retrieval and Reranking|Strong retrieval combines complementary signals and measures ranking before generation.|lexical and vector retrieval;metadata filters;reciprocal-rank fusion;cross-encoder reranking|Construct lexical and semantic rankings with different winners and tune fusion constants.|Semantic retrieval can miss identifiers while lexical retrieval can miss paraphrases.|Calculate Recall at k, MRR, and nDCG for a labeled query set.|Evaluate ranked lists against relevance judgments instead of using answer eloquence as retrieval evidence.|Why combine lexical and vector search?;When should filtering happen?;What does a reranker trade?|Production RAG quality is often won or lost in retrieval and reranking.
21|Agents, Loops, State, and Memory|An agent is a bounded execution loop where a model selects actions from observations and state.|observe-decide-act loops;state machines;short and long-term memory;budgets, termination, and approvals|Remove the step limit from a cyclic policy and observe the failure.|Unbounded loops amplify cost, latency, side effects, and error accumulation.|Model an agent as explicit states and legal transitions including failed and awaiting-approval states.|Persist state outside the model, validate transitions, and make retries idempotent.|What makes an agent different from a chatbot?;Why externalize state?;When is human approval required?|Agent frameworks package loops and state but do not remove control design.
22|MCP and Tool Ecosystems|MCP standardizes how AI clients discover tools, resources, and prompts exposed by servers.|clients, servers, and transports;tools versus resources;JSON-RPC-shaped messages;authorization and trust boundaries|Trace a call from discovery through validation, execution, and result handling.|Protocol compatibility does not imply a server or returned content is trustworthy.|Design a server exposing one read-only resource and one bounded tool.|Give each capability a precise schema, least privilege, useful errors, and no hidden ambient access.|What does MCP standardize?;How do tools differ from resources?;Where should authorization occur?|MCP makes integrations portable across compatible AI applications.
23|Multi-Agent Systems|Multiple agents help when specialization or ownership boundaries outweigh coordination cost.|supervisors and routers;handoffs and shared state;parallel specialists;coordination failures|Compare one capable agent with three specialists on the same workflow.|Extra agents multiply prompts, latency, synchronization, and ambiguous responsibility.|Define a handoff contract with objective, evidence, output schema, and completion status.|A handoff must be inspectable and cannot depend on private conversational assumptions.|When is multi-agent justified?;What belongs in shared state?;How can agents disagree safely?|Enterprise workflows may split research, analysis, policy, and action across roles.
24|Evaluation and Regression Testing|AI quality must be measured against explicit tasks, datasets, and failure criteria.|golden datasets;deterministic and model-based graders;retrieval and generation metrics;confidence intervals and regression gates|Introduce one regression at a time and confirm its evaluator detects it.|A single aggregate score conceals slices and judge models can be biased.|Create an evaluation record with input, invariants, evidence, output, scores, and failure reason.|Store raw evidence and per-case results so score changes remain explainable.|What should be deterministic?;When is an LLM judge appropriate?;Why evaluate slices?|Evaluations are the test suite and release gate for probabilistic systems.
25|Fine-Tuning, LoRA, and QLoRA|Fine-tuning changes behavior or specialization when prompting and retrieval are insufficient.|SFT and training examples;full tuning versus PEFT;low-rank adapters;quantization and catastrophic forgetting|Vary adapter rank and compare parameter count and update rank.|Bad or narrow training data efficiently teaches the wrong behavior.|Choose among RAG, prompts, tools, and fine-tuning for four scenarios.|Use RAG for changing knowledge, tools for actions, prompts for instruction gaps, and tuning for repeated behavioral adaptation.|What does LoRA train?;What does QLoRA add?;Why keep an untouched evaluation set?|PEFT makes customization feasible without updating every base-model parameter.
26|AI Security and Red Teaming|AI systems process untrusted language and may control privileged tools, creating new attack paths.|prompt injection;data exfiltration;excessive agency;poisoned retrieval and supply chain|Place malicious instructions inside retrieved documents and keep them treated as data.|Keyword filters alone are brittle and cannot enforce authorization boundaries.|Threat-model a RAG agent across assets, actors, entry points, boundaries, and mitigations.|Prioritize isolation, least privilege, provenance, output handling, approval, monitoring, and revocation.|Why is prompt injection not SQL injection?;What is excessive agency?;Why treat tool output as untrusted?|Security must be enforced outside the model wherever consequences matter.
27|Multimodal AI|Multimodal models connect text with images, audio, video, and structured signals.|modality encoders;joint embedding spaces;early and late fusion;OCR, grounding, and modality evaluation|Perturb image and text features independently and observe fused similarity.|A fluent description can hallucinate details absent from the source modality.|Design a document workflow preserving page coordinates and source images with extracted text.|Keep modality provenance so answers trace back to visual regions rather than only OCR text.|What is multimodal grounding?;How do early and late fusion differ?;Why evaluate each modality separately?|Modern assistants reason across screenshots, documents, speech, and text.
28|Production AI Serving|Production inference balances quality with latency, throughput, availability, and cost.|routing and fallbacks;batching, streaming, and caching;rate limits and queues;tracing, SLOs, and cost|Replay duplicates through different cache keys and measure hit correctness.|Caching user-specific or nondeterministic output under weak keys leaks or corrupts results.|Design latency and error budgets across retrieval, model, and tool stages.|Allocate stage budgets, enforce timeouts, degrade deliberately, and trace each dependency.|What can be cached safely?;Why batch inference?;Which AI-specific signals belong in telemetry?|Serving architecture determines whether a good demo survives real traffic.
29|MLOps and LLMOps|Reproducible delivery requires versioning data, code, prompts, models, and evaluations together.|experiment tracking;data, model, and prompt registries;CI evaluation gates;drift and rollback|Change one artifact version and verify the deployment fingerprint changes.|A model version alone cannot reproduce behavior when prompts and data also changed.|Define promotion criteria from experiment to staging to production.|Require immutable artifacts, evaluation thresholds, security checks, approval, monitoring, and rollback metadata.|What must be versioned?;How does drift differ from regression?;What makes rollback possible?|LLMOps extends MLOps to prompts, retrieval corpora, providers, and agent policies.
30|Distributed AI|Large models and datasets require work and state partitioned across devices.|data parallelism;tensor and pipeline parallelism;FSDP and ZeRO concepts;collectives, synchronization, and failure|Average simulated gradients from uneven worker batches and identify the weighting bug.|Naively averaging worker means is wrong when workers process different sample counts.|Compare data, tensor, and pipeline parallelism for a model that fits nowhere on one GPU.|Choose based on memory location, communication volume, pipeline bubbles, and operational complexity.|What does all-reduce do?;Why shard optimizer state?;What is a pipeline bubble?|Frontier training and high-throughput serving are distributed-systems problems.
31|Advanced Model Architectures|New architectures trade computation, memory, context, and inductive bias differently.|mixture of experts;sparse and linear attention;state-space models;diffusion and multimodal transformers|Route tokens through top-k experts and measure load imbalance.|Sparse routing saves compute only if experts receive balanced work and communication is manageable.|Create a comparison table for attention, SSM, MoE, and diffusion mechanisms.|Compare computational pattern, memory, parallelism, strengths, and failure modes rather than marketing labels.|Why can MoE add parameters without proportional compute?;What problem does sparse attention target?;How does diffusion generation differ?|Architecture choice shapes scaling behavior and workload fit.
32|Advanced Reasoning and Verification|Reasoning systems can spend inference compute searching for and checking candidates.|chain-of-thought as latent work;self-consistency and search;verifiers and process supervision;test-time compute|Sample candidates with a controlled error rate and compare majority vote with verification.|Repeated reasoning can reinforce a systematic error and consume cost without adding evidence.|Design a solver-verifier loop with a hard budget and independently checkable criteria.|Generate candidates, verify against external constraints, stop on success, and preserve the trace.|What is test-time compute?;Why separate solver and verifier?;When does self-consistency fail?|Reasoning models trade latency and tokens for better hard-problem performance.
33|Research Literacy and Reproduction|Confident engineering distinguishes evidence from claims and reproduces bounded results.|hypotheses and baselines;datasets, metrics, and leakage;ablations and uncertainty;reproduction versus replication|Bootstrap a metric difference and examine whether its interval supports the headline.|Benchmark contamination and selective reporting can make weak methods look decisive.|Write a one-page review covering claim, mechanism, evidence, threats, and reproduction plan.|Tie each claim to an experiment and identify missing baselines, ablations, uncertainty, and external validity.|What does an ablation establish?;Why report uncertainty?;How does reproduction differ from replication?|Architecture decisions should rest on evidence you can interrogate.
34|Enterprise AI Architecture|Enterprise AI coordinates data, identity, models, tools, governance, and operations across trust boundaries.|model and data boundaries;identity and authorization;governance and human oversight;quality, cost, resilience, and portability|Change decision weights and observe when the architecture recommendation flips.|A diagram omitting identity, provenance, evaluation, or failure paths is not operational architecture.|Produce an ADR comparing hosted, self-hosted, and hybrid model strategies.|Document context, constraints, weighted evidence, decision, consequences, risks, and exit strategy.|Where should policy be enforced?;What requires provenance?;How can lock-in be limited without lowest-common-denominator design?|This phase turns AI components into systems an organization can govern and operate.
35|Capstone Production-Grade Agentic AI Platform|The capstone proves model, retrieval, tool, evaluation, security, and operational decisions work together.|end-to-end architecture;evidence-grounded workflows;bounded agency;evaluation gates and production operations|Inject retrieval, model, tool, and approval failures and demonstrate recovery.|A happy-path demonstration is not evidence of production readiness.|Implement one vertical slice from ingestion through cited answer and approved action with a trace and regression case.|Prefer one deep operable slice over a broad facade, then expand behind preserved contracts.|Can another engineer reproduce the system?;Are consequential actions authorized outside the model?;Can every release be evaluated and rolled back?|The final system demonstrates AI engineering and architecture as one discipline.
